,Date,User,Tweet
6039,2022-09-07 12:07:15+00:00,Great9ija,Chelsea Sack Manager Tuchel After Dinamo Zagreb Defeat https://t.co/AcTvZyOPo9
6040,2022-09-07 12:07:08+00:00,SABreakingNews,Chelsea sack Tuchel after Champions League defeat to Zagreb: Chelsea sacked manager Thomas Tuchel on Wednesday the day after his team suffered a shock 1-0 defeat away by Dinamo Zagreb in their opening game of the Champions League. https://t.co/VheREIDHsz
6041,2022-09-07 12:07:01+00:00,FuckBoris_UKGov,Why back tuchel so heavily and get players like Aubameyang to sack him a week or two later
6042,2022-09-07 12:06:59+00:00,abati1990,"BREAKING: Chelsea sack Tuchel, announce temporary replacement https://t.co/CjRgmi50sC"
6043,2022-09-07 12:06:50+00:00,CFCPottahh,"@CFCKAH @HowaynShite @TheSecretScout_ A few of these unhappy, fraudulent players have got Tuchel the sack. I am livid"
6044,2022-09-07 12:06:45+00:00,seanyd81,"@SkySportsNews ""We've been planning on sacking Tuchel for months. That we went through the entire pre-season and transfer window with him only to sack him a less than a week after it closed is all part of our well thought out, unpanicky  master plan."""
6045,2022-09-07 12:06:45+00:00,ghpage_com,Chelsea sack Thomas Tuchel https://t.co/tbIiS9eLFh
6046,2022-09-07 12:06:45+00:00,toyinoluwa_,And the most frustrating part is you don’t have a replacement ready. You sack a UCL winner in Tuchel and you are trying to replace him with Poch and Potter🥴. It is well with Chelsea fans this season.
6047,2022-09-07 12:06:41+00:00,distephanoo,"@gyaigyimii If only you knew the team you support, you won't bother with Tuchel's sack. You won't buy a team for 4billion and spend additional 300mil on improvement for them to lose to Zagreb, Leeds and others. Lions feed on blood. All Chelsea wants is win win win win"
6048,2022-09-07 12:06:37+00:00,Marcellushill2,"Back the manager the entire window just to sack him. This football club is exhausting man. And you go get someone else who again, these won’t be his players. It’s a repetitive cycle over and over and over again. Tuchel literally had a squad of like four different regimes. https://t.co/bslOApocMa"
6049,2022-09-07 12:06:35+00:00,Plan10_boii,"Not even Roman would sack Tuchel
this early after spending so much for him a few weeks ago. This is not a
football decision."
6050,2022-09-07 12:06:34+00:00,naijanewsnow_,Axed! Chelsea Sacks Thomas Tuchel After Champions League Opener Defeat https://t.co/Yc0o6TRAWS
6051,2022-09-07 12:06:28+00:00,apeman77,"Thomas Tuchel: Chelsea sack manager following Champions League defeat - https://t.co/KFRbIxWNxo.   Right or wrong I'm not shocked,the end of last season was very similar to this.I like tuchel but he had lost his grip or respect if you https://t.co/AHFQ7w5zxv here we go again."
6052,2022-09-07 12:06:25+00:00,BlakefordS,"Chelsea Sack Tuchel 

Chelsea have sacked Thomas Tuchel following the poor start of the team both in the English Premier and UEFA Champions League this season.
https://t.co/A8KgiSQUbJ
#chelsea #thomastuchel https://t.co/A1dj6bzCjg"
